NAME,TYPE,LOCATION,RESOURCE GROUP,SUBSCRIPTION,LAST ACCESSED,RESOURCE LINK
"tribal-openai-service","Azure OpenAI","East US","tribal-openai-rg","Microsoft Azure Sponsorship","4 days ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/tribal-openai-rg/providers/Microsoft.CognitiveServices/accounts/tribal-openai-service"
"sovereign-office-vm-copy","Virtual machine","West US 2","tribal-firewall-rg","Microsoft Azure Sponsorship","4 days ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/tribal-firewall-rg/providers/Microsoft.Compute/virtualMachines/sovereign-office-vm-copy"
"pip-sovereign-office-vm-vnet-westus2-default","Public IP address","","tribal-firewall-rg","Microsoft Azure Sponsorship","23 days ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/tribal-firewall-rg/providers/Microsoft.Network/publicIPAddresses/pip-sovereign-office-vm-vnet-westus2-default"
"Microsoft Azure Sponsorship","Subscription","","","Microsoft Azure Sponsorship","25 days ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84"
"sovereign-office-vm","Virtual machine","","tribal-firewall-rg","Microsoft Azure Sponsorship","26 days ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/tribal-firewall-rg/providers/Microsoft.Compute/virtualMachines/sovereign-office-vm"
"sovereign-office-vm58_z1","Network Interface","","tribal-firewall-rg","Microsoft Azure Sponsorship","27 days ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/tribal-firewall-rg/providers/Microsoft.Network/networkInterfaces/sovereign-office-vm58_z1"
"sovereign-office-vm_OsDisk_1_6f2391edad8c42c0996c400b3475fc94","Disk","","TRIBAL-FIREWALL-RG","Microsoft Azure Sponsorship","27 days ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/TRIBAL-FIREWALL-RG/providers/Microsoft.Compute/disks/sovereign-office-vm_OsDisk_1_6f2391edad8c42c0996c400b3475fc94"
"soveriegn-office-recovery-disk","Disk","","tribal-firewall-rg","Microsoft Azure Sponsorship","27 days ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/tribal-firewall-rg/providers/Microsoft.Compute/disks/soveriegn-office-recovery-disk"
"sovereign-office-vm-clone2","Snapshot","","tribal-firewall-rg","Microsoft Azure Sponsorship","27 days ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/tribal-firewall-rg/providers/Microsoft.Compute/snapshots/sovereign-office-vm-clone2"
"sovereign-office-vm-clone","Snapshot","","tribal-firewall-rg","Microsoft Azure Sponsorship","27 days ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/tribal-firewall-rg/providers/Microsoft.Compute/snapshots/sovereign-office-vm-clone"
"sovereign-office-vm-ip","Public IP address","","tribal-firewall-rg","Microsoft Azure Sponsorship","27 days ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/tribal-firewall-rg/providers/Microsoft.Network/publicIPAddresses/sovereign-office-vm-ip"
"sovereigndashboard-staging","Static Web App","","sovereigndashboard-staging_group","Microsoft Azure Sponsorship","28 days ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/sovereigndashboard-staging_group/providers/Microsoft.Web/staticSites/sovereigndashboard-staging"
"sovereign-office-vm-copy224_z1","Network Interface","","tribal-firewall-rg","Microsoft Azure Sponsorship","28 days ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/tribal-firewall-rg/providers/Microsoft.Network/networkInterfaces/sovereign-office-vm-copy224_z1"
"sovereign-office-vm-copy-nsg","Network security group","","tribal-firewall-rg","Microsoft Azure Sponsorship","28 days ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/tribal-firewall-rg/providers/Microsoft.Network/networkSecurityGroups/sovereign-office-vm-copy-nsg"
"tribalregistry","Container registry","","tribal-firewall-rg","Microsoft Azure Sponsorship","1 month ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/tribal-firewall-rg/providers/Microsoft.ContainerRegistry/registries/tribalregistry"
"sovereign-office-vm-nsg","Network security group","","tribal-firewall-rg","Microsoft Azure Sponsorship","1 month ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/tribal-firewall-rg/providers/Microsoft.Network/networkSecurityGroups/sovereign-office-vm-nsg"
"sovereign-office-vm-vnet","Virtual network","","tribal-firewall-rg","Microsoft Azure Sponsorship","1 month ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/tribal-firewall-rg/providers/Microsoft.Network/virtualNetworks/sovereign-office-vm-vnet"
"tribal-firewall-rg","Resource group","","tribal-firewall-rg","Microsoft Azure Sponsorship","1 month ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/tribal-firewall-rg"
"sovereign-chat-memory","Azure Cache for Redis","","sovereign-office-rg","Microsoft Azure Sponsorship","1 month ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/sovereign-office-rg/providers/Microsoft.Cache/Redis/sovereign-chat-memory"
"sovereignoffice","Container registry","","sovereign-office-rg","Microsoft Azure Sponsorship","1 month ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/sovereign-office-rg/providers/Microsoft.ContainerRegistry/registries/sovereignoffice"
"sovereign-office-rg","Resource group","","sovereign-office-rg","Microsoft Azure Sponsorship","1 month ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/sovereign-office-rg"
"sovereign-dashboard","Container App","","sovereign-office-rg","Microsoft Azure Sponsorship","1 month ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/sovereign-office-rg/providers/Microsoft.App/containerApps/sovereign-dashboard"
"community-dashboard","Container App","","sovereign-office-rg","Microsoft Azure Sponsorship","1 month ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/sovereign-office-rg/providers/Microsoft.App/containerApps/community-dashboard"
"tribalpostgres-db","Azure Database for PostgreSQL flexible server","","tribal-firewall-rg","Microsoft Azure Sponsorship","1 month ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/tribal-firewall-rg/providers/Microsoft.DBforPostgreSQL/flexibleServers/tribalpostgres-db"
"tribal-firewall-backend","Container App","","tribal-firewall-rg","Microsoft Azure Sponsorship","1 month ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/tribal-firewall-rg/providers/Microsoft.App/containerApps/tribal-firewall-backend"
"tribal-openai-rg","Resource group","","tribal-openai-rg","Microsoft Azure Sponsorship","1 month ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/tribal-openai-rg"
"indigenous-intel-search","Search service (Foundry IQ)","","indigenous-intel-rg","Microsoft Azure Sponsorship","1 month ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/indigenous-intel-rg/providers/Microsoft.Search/searchServices/indigenous-intel-search"
"indigenous-intel-rg","Resource group","","indigenous-intel-rg","Microsoft Azure Sponsorship","1 month ago","https://portal.azure.com#resource/subscriptions/5838e8d3-014b-40f7-8480-db939c878f84/resourceGroups/indigenous-intel-rg"
